BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,
Large Mall Evacuation model.nlogo,,,,,,,,,,
experiment,,,,,,,,,,
04/25/2021 10:25:52:277 +0100,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-20,20,-20,20,,,,,,,
[run number],staff-number,visitor-number,visitor-visible-radius,[step],Remaining-visitor-number,,,Ratio,,Mean
1,10,50,3,33,45,,,0.9,,0.772
2,10,50,3,36,36,,,0.72,,
3,10,50,3,34,36,,,0.72,,
4,10,50,3,34,42,,,0.84,,
5,10,50,3,32,41,,,0.82,,
6,10,50,3,38,38,,,0.76,,
7,10,50,3,34,37,,,0.74,,
8,10,50,3,37,34,,,0.68,,
9,10,50,3,35,42,,,0.84,,
10,10,50,3,36,35,,,0.7,,
11,10,100,3,38,73,,,0.73,,0.762
12,10,100,3,37,70,,,0.7,,
13,10,100,3,35,76,,,0.76,,
14,10,100,3,37,82,,,0.82,,
15,10,100,3,34,78,,,0.78,,
16,10,100,3,37,77,,,0.77,,
17,10,100,3,37,72,,,0.72,,
18,10,100,3,33,75,,,0.75,,
19,10,100,3,37,80,,,0.8,,
20,10,100,3,37,79,,,0.79,,
21,10,150,3,35,111,,,0.74,,0.756666667
22,10,150,3,37,103,,,0.686666667,,
23,10,150,3,36,112,,,0.746666667,,
24,10,150,3,34,109,,,0.726666667,,
25,10,150,3,36,112,,,0.746666667,,
26,10,150,3,34,127,,,0.846666667,,
27,10,150,3,35,118,,,0.786666667,,
28,10,150,3,36,101,,,0.673333333,,
29,10,150,3,37,112,,,0.746666667,,
30,10,150,3,36,130,,,0.866666667,,
31,10,200,3,39,150,,,0.75,,0.7875
32,10,200,3,36,154,,,0.77,,
33,10,200,3,34,175,,,0.875,,
34,10,200,3,34,163,,,0.815,,
35,10,200,3,35,156,,,0.78,,
36,10,200,3,34,130,,,0.65,,
37,10,200,3,37,177,,,0.885,,
38,10,200,3,37,151,,,0.755,,
39,10,200,3,35,170,,,0.85,,
40,10,200,3,39,149,,,0.745,,
41,10,250,3,34,199,,,0.796,,0.7708
42,10,250,3,34,217,,,0.868,,
43,10,250,3,36,183,,,0.732,,
44,10,250,3,34,192,,,0.768,,
45,10,250,3,38,192,,,0.768,,
46,10,250,3,34,197,,,0.788,,
47,10,250,3,35,189,,,0.756,,
48,10,250,3,35,195,,,0.78,,
49,10,250,3,36,193,,,0.772,,
50,10,250,3,37,170,,,0.68,,
51,20,50,3,33,35,,,0.7,,0.58
52,20,50,3,33,27,,,0.54,,
53,20,50,3,37,24,,,0.48,,
54,20,50,3,37,31,,,0.62,,
55,20,50,3,35,26,,,0.52,,
56,20,50,3,37,29,,,0.58,,
57,20,50,3,36,35,,,0.7,,
58,20,50,3,34,27,,,0.54,,
59,20,50,3,36,24,,,0.48,,
60,20,50,3,38,32,,,0.64,,
61,20,100,3,36,67,,,0.67,,0.587
62,20,100,3,36,54,,,0.54,,
63,20,100,3,36,62,,,0.62,,
64,20,100,3,37,67,,,0.67,,
65,20,100,3,34,54,,,0.54,,
66,20,100,3,35,56,,,0.56,,
67,20,100,3,37,47,,,0.47,,
68,20,100,3,37,51,,,0.51,,
69,20,100,3,35,72,,,0.72,,
70,20,100,3,39,57,,,0.57,,
71,20,150,3,38,89,,,0.593333333,,0.607333333
72,20,150,3,39,97,,,0.646666667,,
73,20,150,3,38,101,,,0.673333333,,
74,20,150,3,36,81,,,0.54,,
75,20,150,3,36,84,,,0.56,,
76,20,150,3,38,84,,,0.56,,
77,20,150,3,37,96,,,0.64,,
78,20,150,3,34,87,,,0.58,,
79,20,150,3,38,99,,,0.66,,
80,20,150,3,38,93,,,0.62,,
81,20,200,3,39,98,,,0.49,,0.5885
82,20,200,3,37,116,,,0.58,,
83,20,200,3,37,102,,,0.51,,
84,20,200,3,36,128,,,0.64,,
85,20,200,3,36,110,,,0.55,,
86,20,200,3,39,119,,,0.595,,
87,20,200,3,39,114,,,0.57,,
88,20,200,3,37,129,,,0.645,,
89,20,200,3,38,136,,,0.68,,
90,20,200,3,35,125,,,0.625,,
